medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Matthew Richardson,silver,Australia,1999-04-17,Maidstone,Maidstone,cycling at the 2024 Summer Olympics – men's sprint
Jack Carlin,bronze,United Kingdom,1997-04-23,Paisley,Renfrewshire,cycling at the 2024 Summer Olympics – men's sprint
Roy van den Berg,gold,Netherlands,1988-09-08,Kampen,Kampen,cycling at the 2024 Summer Olympics – men's team sprint
Harrie Lavreysen,gold,Netherlands,1997-03-14,Luyksgestel,Bergeijk,cycling at the 2024 Summer Olympics – men's team sprint
Jeffrey Hoogland,gold,Netherlands,1993-03-16,Hellendoorn,Overijssel,cycling at the 2024 Summer Olympics – men's team sprint
Ed Lowe,silver,United Kingdom,2003-08-23,Stamford,Stamford,cycling at the 2024 Summer Olympics – men's team sprint
Hamish Turnbull,silver,United Kingdom,1999-07-13,Morpeth,Northumberland,cycling at the 2024 Summer Olympics – men's team sprint
Jack Carlin,silver,United Kingdom,1997-04-23,Paisley,Renfrewshire,cycling at the 2024 Summer Olympics – men's team sprint
Leigh Hoffman,bronze,Australia,2000-06-11,Whyalla,Whyalla,cycling at the 2024 Summer Olympics – men's team sprint
Matthew Richardson,bronze,Australia,1999-04-17,Maidstone,Maidstone,cycling at the 2024 Summer Olympics – men's team sprint
Matthew Glaetzer,bronze,Australia,1992-08-24,Adelaide,South Australia,cycling at the 2024 Summer Olympics – men's team sprint
Harrie Lavreysen,gold,Netherlands,1997-03-14,Luyksgestel,Bergeijk,cycling at the 2024 Summer Olympics – men's keirin
Matthew Richardson,silver,Australia,1999-04-17,Maidstone,Maidstone,cycling at the 2024 Summer Olympics – men's keirin
Matthew Glaetzer,bronze,Australia,1992-08-24,Adelaide,South Australia,cycling at the 2024 Summer Olympics – men's keirin
Iúri Leitão,gold,Portugal,1998-07-03,Viana do Castelo,Viana do Castelo,cycling at the 2024 Summer Olympics – men's madison
Rui Oliveira,gold,Portugal,1996-09-05,Vila Nova de Gaia,Porto,cycling at the 2024 Summer Olympics – men's madison
Simone Consonni,silver,Italy,1994-09-12,Ponte San Pietro,Province of Bergamo,cycling at the 2024 Summer Olympics – men's madison
Elia Viviani,silver,Italy,1989-02-07,Isola della Scala,Province of Verona,cycling at the 2024 Summer Olympics – men's madison
Niklas Larsen,bronze,Denmark,1997-03-22,Slagelse,Slagelse Municipality,cycling at the 2024 Summer Olympics – men's madison
Michael Mørkøv,bronze,Denmark,1985-04-30,Kokkedal,Fredensborg Municipality,cycling at the 2024 Summer Olympics – men's madison
Benjamin Thomas,gold,France,1995-09-12,Lavaur,canton of Lavaur,cycling at the 2024 Summer Olympics – men's omnium
Iúri Leitão,silver,Portugal,1998-07-03,Viana do Castelo,Viana do Castelo,cycling at the 2024 Summer Olympics – men's omnium
Fabio Van den Bossche,bronze,Belgium,2000-09-21,Ghent,Arrondissement of Ghent,cycling at the 2024 Summer Olympics – men's omnium
Oliver Bleddyn,gold,Australia,2002-01-27,NA,NA,cycling at the 2024 Summer Olympics – men's team pursuit
Sam Welsford,gold,Australia,1996-01-19,Subiaco,City of Subiaco,cycling at the 2024 Summer Olympics – men's team pursuit
Conor Leahy,gold,Australia,1999-04-16,Perth,Western Australia,cycling at the 2024 Summer Olympics – men's team pursuit
Kelland O'Brien,gold,Australia,1998-05-22,Melbourne,Victoria,cycling at the 2024 Summer Olympics – men's team pursuit
Ethan Hayter,silver,United Kingdom,1998-09-18,London,Greater London,cycling at the 2024 Summer Olympics – men's team pursuit
Daniel Bigham,silver,United Kingdom,1991-10-02,Newcastle-under-Lyme,Newcastle-under-Lyme,cycling at the 2024 Summer Olympics – men's team pursuit
Charlie Tanfield,silver,United Kingdom,1996-11-17,North Yorkshire,North East England,cycling at the 2024 Summer Olympics – men's team pursuit
Ethan Vernon,silver,United Kingdom,2000-08-26,Bedford,Bedford,cycling at the 2024 Summer Olympics – men's team pursuit
Oliver Wood,silver,United Kingdom,1995-11-26,Wakefield,Wakefield,cycling at the 2024 Summer Olympics – men's team pursuit
Simone Consonni,bronze,Italy,1994-09-12,Ponte San Pietro,Province of Bergamo,cycling at the 2024 Summer Olympics – men's team pursuit
Filippo Ganna,bronze,Italy,1996-07-25,Verbania,Province of Verbano-Cusio-Ossola,cycling at the 2024 Summer Olympics – men's team pursuit
Francesco Lamon,bronze,Italy,1994-02-05,Mirano,Metropolitan City of Venice,cycling at the 2024 Summer Olympics – men's team pursuit
Jonathan Milan,bronze,Italy,2000-10-01,Tolmezzo,regional decentralization entity of Udine,cycling at the 2024 Summer Olympics – men's team pursuit
Ellesse Andrews,gold,New Zealand,1999-12-31,Christchurch Women’s Hospital,NA,cycling at the 2024 Summer Olympics – women's sprint
Lea Friedrich,silver,Germany,2000-01-07,Dassow,Nordwestmecklenburg District,cycling at the 2024 Summer Olympics – women's sprint
Emma Finucane,bronze,United Kingdom,2002-12-22,Carmarthen,Carmarthenshire,cycling at the 2024 Summer Olympics – women's sprint
Katy Marchant,gold,United Kingdom,1993-01-30,Leeds,Leeds,cycling at the 2024 Summer Olympics – women's team sprint
Sophie Capewell,gold,United Kingdom,1998-09-04,Lichfield,Lichfield,cycling at the 2024 Summer Olympics – women's team sprint
Emma Finucane,gold,United Kingdom,2002-12-22,Carmarthen,Carmarthenshire,cycling at the 2024 Summer Olympics – women's team sprint
Rebecca Petch,silver,New Zealand,1998-07-09,Te Awamutu,Waipa District,cycling at the 2024 Summer Olympics – women's team sprint
Shaane Fulton,silver,New Zealand,2000-10-03,Nelson,Nelson City,cycling at the 2024 Summer Olympics – women's team sprint
Ellesse Andrews,silver,New Zealand,1999-12-31,Christchurch Women’s Hospital,NA,cycling at the 2024 Summer Olympics – women's team sprint
Pauline Grabosch,bronze,Germany,1998-01-14,Magdeburg,Saxony-Anhalt,cycling at the 2024 Summer Olympics – women's team sprint
Emma Hinze,bronze,Germany,1997-09-17,Hildesheim,Hildesheim,cycling at the 2024 Summer Olympics – women's team sprint
Lea Friedrich,bronze,Germany,2000-01-07,Dassow,Nordwestmecklenburg District,cycling at the 2024 Summer Olympics – women's team sprint
Ellesse Andrews,gold,New Zealand,1999-12-31,Christchurch Women’s Hospital,NA,cycling at the 2024 Summer Olympics – women's keirin
Hetty van de Wouw,silver,Netherlands,1998-05-29,Kaatsheuvel,Loon op Zand,cycling at the 2024 Summer Olympics – women's keirin
Emma Finucane,bronze,United Kingdom,2002-12-22,Carmarthen,Carmarthenshire,cycling at the 2024 Summer Olympics – women's keirin
Chiara Consonni,gold,Italy,1999-06-24,Ponte San Pietro,Province of Bergamo,cycling at the 2024 Summer Olympics – women's madison
Vittoria Guazzini,gold,Italy,2000-12-26,Pontedera,Province of Pisa,cycling at the 2024 Summer Olympics – women's madison
Elinor Barker,silver,United Kingdom,1994-09-07,Cardiff,Cardiff,cycling at the 2024 Summer Olympics – women's madison
Neah Evans,silver,United Kingdom,1990-08-01,Langbank,Renfrewshire,cycling at the 2024 Summer Olympics – women's madison
Maike van der Duin,bronze,Netherlands,2001-09-12,Assen,Drenthe,cycling at the 2024 Summer Olympics – women's madison
Lisa Van Belle,bronze,Netherlands,2004-01-30,Zoetermeer,South Holland,cycling at the 2024 Summer Olympics – women's madison
Jennifer Valente,gold,United States of America,1994-12-24,San Diego,San Diego County,cycling at the 2024 Summer Olympics – women's omnium
Daria Pikulik,silver,Poland,1997-01-06,Skarżysko-Kamienna,Skarżysko County,cycling at the 2024 Summer Olympics – women's omnium
Ally Wollaston,bronze,New Zealand,2001-01-04,Auckland,Auckland Region,cycling at the 2024 Summer Olympics – women's omnium
Jennifer Valente,gold,United States of America,1994-12-24,San Diego,San Diego County,cycling at the 2024 Summer Olympics – women's team pursuit
Lily Williams,gold,United States of America,1994-06-24,Tallahassee,Leon County,cycling at the 2024 Summer Olympics – women's team pursuit
Chloé Dygert,gold,United States of America,1997-01-01,Brownsburg,Hendricks County,cycling at the 2024 Summer Olympics – women's team pursuit
Kristen Faulkner,gold,United States of America,1992-12-18,Homer,Kenai Peninsula Borough,cycling at the 2024 Summer Olympics – women's team pursuit
Ally Wollaston,silver,New Zealand,2001-01-04,Auckland,Auckland Region,cycling at the 2024 Summer Olympics – women's team pursuit
Bryony Botha,silver,New Zealand,1997-11-04,Auckland,Auckland Region,cycling at the 2024 Summer Olympics – women's team pursuit
Emily Shearman,silver,New Zealand,1999-02-23,Palmerston North,Palmerston North City,cycling at the 2024 Summer Olympics – women's team pursuit
Nicole Shields,silver,New Zealand,1999-09-09,Invercargill,Invercargill City,cycling at the 2024 Summer Olympics – women's team pursuit
Elinor Barker,bronze,United Kingdom,1994-09-07,Cardiff,Cardiff,cycling at the 2024 Summer Olympics – women's team pursuit
Josie Knight,bronze,United Kingdom,1997-03-29,Dingle,County Kerry,cycling at the 2024 Summer Olympics – women's team pursuit
Anna Morris,bronze,United Kingdom,1995-06-13,Cardiff,Cardiff,cycling at the 2024 Summer Olympics – women's team pursuit
Jessica Roberts,bronze,United Kingdom,1999-04-11,Carmarthen,Carmarthenshire,cycling at the 2024 Summer Olympics – women's team pursuit
Thomas Pidcock,gold,United Kingdom,1999-07-30,Leeds,Leeds,cycling at the 2024 Summer Olympics – men's cross-country
Victor Koretzky,silver,France,1994-08-26,Béziers,arrondissement of Béziers,cycling at the 2024 Summer Olympics – men's cross-country
Alan Hatherly,bronze,South Africa,1996-05-03,Durban,eThekwini Metropolitan Municipality,cycling at the 2024 Summer Olympics – men's cross-country
Pauline Ferrand-Prévot,gold,France,1992-02-10,Reims,arrondissement of Reims,cycling at the 2024 Summer Olympics – women's cross-country
Haley Batten,silver,United States of America,1998-09-19,Park City,Summit County,cycling at the 2024 Summer Olympics – women's cross-country
Jenny Rissveds,bronze,Sweden,1994-06-06,Falun,Falun Municipality,cycling at the 2024 Summer Olympics – women's cross-country
Joris Daudet,gold,France,1991-02-12,Saintes,Charente-Maritime,cycling at the 2020 Summer Olympics – men's BMX race
Sylvain André,silver,France,1992-10-14,Cavaillon,Vaucluse,cycling at the 2020 Summer Olympics – men's BMX race
Romain Mahieu,bronze,France,1995-02-17,Lille,arrondissement of Lille,cycling at the 2020 Summer Olympics – men's BMX race
Saya Sakakibara,gold,Australia,1999-08-23,Gold Coast,Queensland,cycling at the 2024 Summer Olympics – women's BMX race
Manon Veenstra,silver,Netherlands,1998-07-06,Zwolle,Overijssel,cycling at the 2024 Summer Olympics – women's BMX race
Zoé Claessens,bronze,Switzerland,2001-04-28,Echichens,canton Vaud,cycling at the 2024 Summer Olympics – women's BMX race
José Augusto Torres Gil,gold,Argentina,1995-03-28,Santa Cruz de la Sierra,Andrés Ibáñez Province,cycling at the 2024 Summer Olympics – men's BMX freestyle
Kieran Reilly,silver,United Kingdom,2001-07-12,Newcastle upon Tyne,Newcastle upon Tyne,cycling at the 2024 Summer Olympics – men's BMX freestyle
Anthony Jeanjean,bronze,France,1998-05-13,Béziers,arrondissement of Béziers,cycling at the 2024 Summer Olympics – men's BMX freestyle
Deng Yawen,gold,People's Republic of China,2005-10-17,Luzhou,Sichuan,cycling at the 2024 Summer Olympics – women's BMX freestyle
Perris Benegas,silver,United States of America,1995-07-22,Reno,Washoe County,cycling at the 2024 Summer Olympics – women's BMX freestyle
Natalya Diehm,bronze,Australia,1997-09-23,Gladstone,Gladstone Region,cycling at the 2024 Summer Olympics – women's BMX freestyle
Xie Siyi,gold,People's Republic of China,1996-03-28,Shantou,Guangdong,Diving at the 2024 Summer Olympics – Men's 3 metre springboard
Wang Zongyuan,silver,People's Republic of China,2001-10-24,Xiangyang,Hubei,Diving at the 2024 Summer Olympics – Men's 3 metre springboard
Osmar Olvera,bronze,Mexico,2004-06-05,Mexico City,Mexico,Diving at the 2024 Summer Olympics – Men's 3 metre springboard
Cao Yuan,gold,People's Republic of China,1995-02-07,Beijing,People's Republic of China,Diving at the 2024 Summer Olympics – Men's 10 metre platform
Rikuto Tamai,silver,Japan,2006-09-11,Takarazuka,Hyogo Prefecture,Diving at the 2024 Summer Olympics – Men's 10 metre platform
Noah Williams,bronze,United Kingdom,2000-05-15,London,Greater London,Diving at the 2024 Summer Olympics – Men's 10 metre platform
Wang Zongyuan,gold,People's Republic of China,2001-10-24,Xiangyang,Hubei,Diving at the 2024 Summer Olympics – Men's synchronized 3 metre springboard
Long Daoyi,gold,People's Republic of China,2003-03-06,Rongjiang County,Qiandongnan Miao and Dong Autonomous Prefecture,Diving at the 2024 Summer Olympics – Men's synchronized 3 metre springboard
Juan Celaya,silver,Mexico,1998-09-01,San Nicolás de los Garza,San Nicolás de los Garza,Diving at the 2024 Summer Olympics – Men's synchronized 3 metre springboard
Osmar Olvera,silver,Mexico,2004-06-05,Mexico City,Mexico,Diving at the 2024 Summer Olympics – Men's synchronized 3 metre springboard
Anthony Harding,bronze,United Kingdom,2000-06-30,Ashton-under-Lyne,Tameside,Diving at the 2024 Summer Olympics – Men's synchronized 3 metre springboard
Jack Laugher,bronze,United Kingdom,1995-01-30,Harrogate,Harrogate,Diving at the 2024 Summer Olympics – Men's synchronized 3 metre springboard
Yang Hao,gold,People's Republic of China,1998-02-03,Shiping County,Honghe Hani and Yi Autonomous Prefecture,Diving at the 2024 Summer Olympics – Men's synchronized 10 metre platform
Lian Junjie,gold,People's Republic of China,2000-11-03,Wuzhou,Guangxi,Diving at the 2024 Summer Olympics – Men's synchronized 10 metre platform
Tom Daley,silver,United Kingdom,1994-05-21,Plymouth,City of Plymouth,Diving at the 2024 Summer Olympics – Men's synchronized 10 metre platform
Noah Williams,silver,United Kingdom,2000-05-15,London,Greater London,Diving at the 2024 Summer Olympics – Men's synchronized 10 metre platform
Rylan Wiens,bronze,Canada,2002-01-02,Calgary,Alberta,Diving at the 2024 Summer Olympics – Men's synchronized 10 metre platform
Nathan Zsombor-Murray,bronze,Canada,2003-04-28,Montreal,Urban agglomeration of Montreal,Diving at the 2024 Summer Olympics – Men's synchronized 10 metre platform
Chen Yiwen,gold,People's Republic of China,1999-06-15,Haikou,Hainan,Diving at the 2024 Summer Olympics – Women's 3 metre springboard
Maddison Keeney,silver,Australia,1996-05-23,Sydney,New South Wales,Diving at the 2024 Summer Olympics – Women's 3 metre springboard
Chang Yani,bronze,People's Republic of China,2001-12-07,Xiantao City,Hubei,Diving at the 2024 Summer Olympics – Women's 3 metre springboard
Quan Hongchan,gold,People's Republic of China,2007-03-28,Zhanjiang,Guangdong,Diving at the 2024 Summer Olympics – Women's 10 metre platform
Chen Yuxi,silver,People's Republic of China,2005-09-11,Shanghai,People's Republic of China,Diving at the 2024 Summer Olympics – Women's 10 metre platform
Kim Mi-rae,bronze,North Korea,2001-04-07,Pyongyang,North Korea,Diving at the 2024 Summer Olympics – Women's 10 metre platform
Chen Yiwen,gold,People's Republic of China,1999-06-15,Haikou,Hainan,diving at the 2024 Summer Olympics – Women's synchronized 3 metre springboard
Chang Yani,gold,People's Republic of China,2001-12-07,Xiantao City,Hubei,diving at the 2024 Summer Olympics – Women's synchronized 3 metre springboard
Sarah Bacon,silver,United States of America,1996-09-20,Indianapolis,Marion County,diving at the 2024 Summer Olympics – Women's synchronized 3 metre springboard
Kassidy Cook,silver,United States of America,1995-05-09,Plantation,Broward County,diving at the 2024 Summer Olympics – Women's synchronized 3 metre springboard
Yasmin Harper,bronze,United Kingdom,2000-07-28,Chester,Cheshire West and Chester,diving at the 2024 Summer Olympics – Women's synchronized 3 metre springboard
Scarlett Mew Jensen,bronze,United Kingdom,2001-12-31,London Borough of Hackney,Greater London,diving at the 2024 Summer Olympics – Women's synchronized 3 metre springboard
Chen Yuxi,gold,People's Republic of China,2005-09-11,Shanghai,People's Republic of China,Diving at the 2024 Summer Olympics – Women's synchronized 10 metre platform
Quan Hongchan,gold,People's Republic of China,2007-03-28,Zhanjiang,Guangdong,Diving at the 2024 Summer Olympics – Women's synchronized 10 metre platform
Kim Mi-rae,silver,North Korea,2001-04-07,Pyongyang,North Korea,Diving at the 2024 Summer Olympics – Women's synchronized 10 metre platform
Jo Jin-Mi,silver,North Korea,2004-11-15,NA,NA,Diving at the 2024 Summer Olympics – Women's synchronized 10 metre platform
Andrea Spendolini-Sirieix,bronze,United Kingdom,2004-09-11,London,Greater London,Diving at the 2024 Summer Olympics – Women's synchronized 10 metre platform
Lois Toulson,bronze,United Kingdom,1999-09-26,Huddersfield,Kirklees,Diving at the 2024 Summer Olympics – Women's synchronized 10 metre platform
Jessica von Bredow-Werndl,gold,Germany,1986-02-16,Rosenheim,Upper Bavaria,equestrian at the 2024 Summer Olympics – individual dressage
Isabell Werth,silver,Germany,1969-07-21,Issum,Kleve,equestrian at the 2024 Summer Olympics – individual dressage
Charlotte Fry,bronze,United Kingdom,1996-01-01,Kent,Kent,equestrian at the 2024 Summer Olympics – individual dressage
Frederic Wandres,gold,Germany,1987-03-25,Kehl,Ortenau,equestrian at the 2024 Summer Olympics – team dressage
Isabell Werth,gold,Germany,1969-07-21,Issum,Kleve,equestrian at the 2024 Summer Olympics – team dressage
Jessica von Bredow-Werndl,gold,Germany,1986-02-16,Rosenheim,Upper Bavaria,equestrian at the 2024 Summer Olympics – team dressage
Daniel Bachmann Andersen,silver,Denmark,1990-06-01,Sønderborg,Sønderborg Municipality,equestrian at the 2024 Summer Olympics – team dressage
Nanna Skodborg Merrald,silver,Denmark,1993-10-08,Kirke Hvalsø,Lejre Municipality,equestrian at the 2024 Summer Olympics – team dressage
Cathrine Dufour,silver,Denmark,1992-01-02,Kirke Hvalsø,Lejre Municipality,equestrian at the 2024 Summer Olympics – team dressage
Becky Moody,bronze,United Kingdom,NA,Northern Ireland,United Kingdom,equestrian at the 2024 Summer Olympics – team dressage
Carl Hester,bronze,United Kingdom,1967-06-29,Sark,Bailiwick of Guernsey,equestrian at the 2024 Summer Olympics – team dressage
Charlotte Fry,bronze,United Kingdom,1996-01-01,Kent,Kent,equestrian at the 2024 Summer Olympics – team dressage
Michael Jung,gold,Germany,1982-07-31,Bad Soden am Taunus,Main-Taunus-Kreis,equestrian at the 2024 Summer Olympics – individual eventing
Chris Burton,silver,Australia,1981-11-22,Toowoomba,Toowoomba Region,equestrian at the 2024 Summer Olympics – individual eventing
Laura Collett,bronze,United Kingdom,1989-08-31,Royal Leamington Spa,Warwick,equestrian at the 2024 Summer Olympics – individual eventing
Rosalind Canter,gold,United Kingdom,1986-01-13,Hallington,East Lindsey,equestrian at the 2024 Summer Olympics – team eventing
Tom McEwen,gold,United Kingdom,1991-05-10,London,Greater London,equestrian at the 2024 Summer Olympics – team eventing
Laura Collett,gold,United Kingdom,1989-08-31,Royal Leamington Spa,Warwick,equestrian at the 2024 Summer Olympics – team eventing
Nicolas Touzaint,silver,France,1980-05-10,Angers,Maine-et-Loire,equestrian at the 2024 Summer Olympics – team eventing
Karim Laghouag,silver,France,1975-08-04,Roubaix,arrondissement of Lille,equestrian at the 2024 Summer Olympics – team eventing
Stéphane Landois,silver,France,1994-06-03,Nantes,Loire-Atlantique,equestrian at the 2024 Summer Olympics – team eventing
Toshiyuki Tanaka,bronze,Japan,1985-02-02,Fukuoka,Fukuoka Prefecture,equestrian at the 2024 Summer Olympics – team eventing
Kazuma Tomoto,bronze,Japan,1983-06-05,Motosu,Gifu Prefecture,equestrian at the 2024 Summer Olympics – team eventing
Yoshiaki Ōiwa,bronze,Japan,1976-07-19,Nagoya,Aichi Prefecture,equestrian at the 2024 Summer Olympics – team eventing
Ryuzo Kitajima,bronze,Japan,1985-10-23,Kobe,Hyogo Prefecture,equestrian at the 2024 Summer Olympics – team eventing
Christian Kukuk,gold,Germany,1990-03-04,Warendorf,Warendorf District,equestrian at the 2024 Summer Olympics – individual jumping
Steve Guerdat,silver,Switzerland,1982-06-10,Bassecourt,Haute-Sorne,equestrian at the 2024 Summer Olympics – individual jumping
Maikel van der Vleuten,bronze,Netherlands,1988-02-10,Geldrop-Mierlo,North Brabant,equestrian at the 2024 Summer Olympics – individual jumping
Ben Maher,gold,United Kingdom,1983-01-30,London Borough of Enfield,Greater London,equestrian at the 2024 Summer Olympics – team jumping
Harry Charles,gold,United Kingdom,1999-07-15,Alton,East Hampshire,equestrian at the 2024 Summer Olympics – team jumping
Scott Brash,gold,United Kingdom,1985-12-05,Edinburgh,City of Edinburgh,equestrian at the 2024 Summer Olympics – team jumping
Laura Kraut,silver,United States of America,1965-11-14,Camden,Kershaw County,equestrian at the 2024 Summer Olympics – team jumping
Kaley Cuoco,silver,United States of America,1985-11-30,Camarillo,Ventura County,equestrian at the 2024 Summer Olympics – team jumping
McLain Ward,silver,United States of America,1975-10-17,Brewster,Putnam County,equestrian at the 2024 Summer Olympics – team jumping
Simon Delestre,bronze,France,1981-06-21,Metz,Moselle,equestrian at the 2024 Summer Olympics – team jumping
Julien Épaillard,bronze,France,1977-07-24,Cherbourg,arrondissement of Cherbourg,equestrian at the 2024 Summer Olympics – team jumping
Koki Kano,gold,Japan,1997-12-19,Aichi Prefecture,Japan,fencing at the 2024 Summer Olympics – men's épée
Yannick Borel,silver,France,1988-11-05,Pointe-à-Pitre,Guadeloupe,fencing at the 2024 Summer Olympics – men's épée
Mohamed El-Sayed,bronze,Egypt,2003-03-03,Cairo,Cairo Governorate,fencing at the 2024 Summer Olympics – men's épée
Máté Tamás Koch,gold,Hungary,1999-07-18,Budapest,Hungary,fencing at the 2024 Summer Olympics – men's team épée
Tibor Andrásfi,gold,Hungary,1999-12-10,Budapest,Hungary,fencing at the 2024 Summer Olympics – men's team épée
Gergely Siklósi,gold,Hungary,1997-09-04,Tapolca,Tapolca District,fencing at the 2024 Summer Olympics – men's team épée
Akira Komata,silver,Japan,1998-01-31,Niigata Prefecture,Japan,fencing at the 2024 Summer Olympics – men's team épée
Koki Kano,silver,Japan,1997-12-19,Aichi Prefecture,Japan,fencing at the 2024 Summer Olympics – men's team épée
Masaru Yamada,silver,Japan,1994-06-14,Toba,Mie Prefecture,fencing at the 2024 Summer Olympics – men's team épée
Kazuyasu Minobe,silver,Japan,1987-07-15,Echizen,Fukui Prefecture,fencing at the 2024 Summer Olympics – men's team épée
Jiří Beran,bronze,Czech Republic,1982-01-18,Prague 2,Prague,fencing at the 2024 Summer Olympics – men's team épée
Jakub Jurka,bronze,Czech Republic,1999-06-13,Olomouc,Olomouc District,fencing at the 2024 Summer Olympics – men's team épée
Martin Rubeš,bronze,Czech Republic,1996-09-16,Karlovy Vary,Karlovy Vary District,fencing at the 2024 Summer Olympics – men's team épée
Michal Čupr,bronze,Czech Republic,1991-12-23,Ústí nad Labem,Ústí nad Labem District,fencing at the 2024 Summer Olympics – men's team épée
Cheung Ka-long,gold,Hong Kong,1997-06-10,British Hong Kong,NA,fencing at the 2024 Summer Olympics – men's foil
Filippo Macchi,silver,Italy,2001-09-19,Pontedera,Province of Pisa,fencing at the 2024 Summer Olympics – men's foil
Nick Itkin,bronze,United States of America,1999-10-09,Los Angeles,Los Angeles County,fencing at the 2024 Summer Olympics – men's foil
Kyosuke Matsuyama,gold,Japan,1996-12-19,Tokyo,Japan,fencing at the 2024 Summer Olympics – men's team foil
Takahiro Shikine,gold,Japan,1997-12-07,Ōita,Oita Prefecture,fencing at the 2024 Summer Olympics – men's team foil
Yudai Nagano,gold,Japan,1998-10-15,Ibaraki Prefecture,Japan,fencing at the 2024 Summer Olympics – men's team foil
Guillaume Bianchi,silver,Italy,1997-07-30,Rome,Metropolitan City of Rome,fencing at the 2024 Summer Olympics – men's team foil
Filippo Macchi,silver,Italy,2001-09-19,Pontedera,Province of Pisa,fencing at the 2024 Summer Olympics – men's team foil
Tommaso Marini,silver,Italy,2000-04-17,Ancona,Province of Ancona,fencing at the 2024 Summer Olympics – men's team foil
Alessio Foconi,silver,Italy,1989-11-22,Rome,Metropolitan City of Rome,fencing at the 2024 Summer Olympics – men's team foil
Maximilien Chastanet,bronze,France,1996-03-15,Le Havre,Agglomeration community of Le Havre,fencing at the 2024 Summer Olympics – men's team foil
Maxime Pauty,bronze,France,1993-06-20,Clamart,canton of Le Plessis-Robinson,fencing at the 2024 Summer Olympics – men's team foil
Enzo Lefort,bronze,France,1991-09-29,Cayenne,Canton of Cayenne Centre,fencing at the 2024 Summer Olympics – men's team foil
Julien Mertine,bronze,France,1988-06-25,Saint-Germain-en-Laye,arrondissement of Saint-Germain-en-Laye,fencing at the 2024 Summer Olympics – men's team foil
Oh Sang-uk,gold,South Korea,1996-09-30,Daejeon,South Korea,fencing at the 2024 Summer Olympics – men's sabre
Farès Ferjani,silver,Tunisia,1997-07-22,Tunis,Tunis Governorate,fencing at the 2024 Summer Olympics – men's sabre
Luigi Samele,bronze,Italy,1987-07-25,Foggia,Province of Foggia,fencing at the 2024 Summer Olympics – men's sabre
Gu Bon-gil,gold,South Korea,1989-04-27,Seoul,South Korea,fencing at the 2024 Summer Olympics – men's team sabre
Oh Sang-uk,gold,South Korea,1996-09-30,Daejeon,South Korea,fencing at the 2024 Summer Olympics – men's team sabre
Park Sang-won,gold,South Korea,2000-09-14,NA,NA,fencing at the 2024 Summer Olympics – men's team sabre
Do Gyeong-dong,gold,South Korea,1999-08-19,Daegu,South Korea,fencing at the 2024 Summer Olympics – men's team sabre
Csanád Gémesi,silver,Hungary,1986-11-13,Gödöllő,Gödöllő District,fencing at the 2024 Summer Olympics – men's team sabre
András Szatmári,silver,Hungary,1993-02-03,Budapest,Hungary,fencing at the 2024 Summer Olympics – men's team sabre
Áron Szilágyi,silver,Hungary,1990-01-14,Budapest,Hungary,fencing at the 2024 Summer Olympics – men's team sabre
Maxime Pianfetti,bronze,France,1999-03-15,Tarbes,Hautes-Pyrénées,fencing at the 2024 Summer Olympics – men's team sabre
Boladé Apithy,bronze,France,1985-08-21,Dijon,Côte-d’Or,fencing at the 2024 Summer Olympics – men's team sabre
Jean-Philippe Patrice,bronze,France,1997-03-12,Gémenos,canton of Aubagne-Est,fencing at the 2024 Summer Olympics – men's team sabre
Vivian Kong,gold,Hong Kong,1994-02-08,Hong Kong,People's Republic of China,fencing at the 2024 Summer Olympics – women's épée
Auriane Mallo-Breton,silver,France,1993-10-11,Lyon,Metropolis of Lyon,fencing at the 2024 Summer Olympics – women's épée
Eszter Muhari,bronze,Hungary,2002-09-30,Budapest,Hungary,fencing at the 2024 Summer Olympics – women's épée
Rossella Fiamingo,gold,Italy,1991-07-14,Catania,Metropolitan City of Catania,fencing at the 2024 Summer Olympics – women's team épée
Mara Navarria,gold,Italy,1985-07-18,Udine,regional decentralization entity of Udine,fencing at the 2024 Summer Olympics – women's team épée
Giulia Rizzi,gold,Italy,1989-06-20,Udine,regional decentralization entity of Udine,fencing at the 2024 Summer Olympics – women's team épée
Alberta Santuccio,gold,Italy,1994-10-22,Catania,Metropolitan City of Catania,fencing at the 2024 Summer Olympics – women's team épée
Marie-Florence Candassamy,silver,France,1991-02-26,Paris,Grand Paris,fencing at the 2024 Summer Olympics – women's team épée
Alexandra Louis-Marie,silver,France,1996-03-03,Fort-de-France,Martinique,fencing at the 2024 Summer Olympics – women's team épée
Auriane Mallo-Breton,silver,France,1993-10-11,Lyon,Metropolis of Lyon,fencing at the 2024 Summer Olympics – women's team épée
Coraline Vitalis,silver,France,1995-05-09,Pointe-à-Pitre,Guadeloupe,fencing at the 2024 Summer Olympics – women's team épée
Aleksandra Zamachowska,bronze,Poland,1995-10-11,Kraków,Lesser Poland Voivodeship,fencing at the 2024 Summer Olympics – women's team épée
Renata Knapik,bronze,Poland,1988-07-15,Tarnów,Lesser Poland Voivodeship,fencing at the 2024 Summer Olympics – women's team épée
Lee Kiefer,gold,United States of America,1994-06-15,Cleveland,Cuyahoga County,fencing at the 2024 Summer Olympics – women's foil
Lauren Scruggs,silver,United States of America,2003-01-27,Queens,New York City,fencing at the 2024 Summer Olympics – women's foil
